Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_SumOfFitnessScore
0,0,0.516129,0.516129
0,1,0.06451613,0.06451613
0,2,0.06451613,0.06451613
0,3,0.1290323,0.1290323
0,4,0.3225806,0.3225806
0,5,0.3870968,0.3870968
0,6,0.3225806,0.3225806
0,7,0.1290323,0.1290323
0,8,0.4193548,0.4193548
0,9,0.2258064,0.2258064
0,10,0.2580645,0.2580645
0,11,0.1290323,0.1290323
0,12,0.3225806,0.3225806
0,13,0.3870968,0.3870968
0,14,0.1612903,0.1612903
0,15,0.2580645,0.2580645
0,16,0.1612903,0.1612903
0,17,0.06451613,0.06451613
0,18,0.06451613,0.06451613
0,19,0.3225806,0.3225806
0,20,0.3548387,0.3548387
0,21,0.06451613,0.06451613
0,22,0.4193548,0.4193548
0,23,0.2258064,0.2258064
0,24,0.06451613,0.06451613
0,25,0.2580645,0.2580645
0,26,0.1290323,0.1290323
0,27,0.3225806,0.3225806
0,28,0.483871,0.483871
0,29,0.5483871,0.5483871
0,30,0.4516129,0.4516129
0,31,0.06451613,0.06451613
0,32,0.2580645,0.2580645
0,33,0.1935484,0.1935484
0,34,0.3870968,0.3870968
0,35,0.1290323,0.1290323
0,36,0.1290323,0.1290323
0,37,0.4193548,0.4193548
0,38,0.483871,0.483871
0,39,0.3225806,0.3225806
0,40,0.09677419,0.09677419
0,41,0.06451613,0.06451613
0,42,0.3870968,0.3870968
0,43,0.3870968,0.3870968
0,44,0.3870968,0.3870968
0,45,0.4516129,0.4516129
0,46,0.3225806,0.3225806
0,47,0.06451613,0.06451613
0,48,0.4193548,0.4193548
0,49,0.2580645,0.2580645
0,50,0.3870968,0.3870968
0,51,0.3870968,0.3870968
0,52,0.09677419,0.09677419
0,53,0.1290323,0.1290323
0,54,0.4516129,0.4516129
0,55,0.09677419,0.09677419
0,56,0.3225806,0.3225806
0,57,0.3548387,0.3548387
0,58,0.4516129,0.4516129
0,59,0.1612903,0.1612903
0,60,0.2580645,0.2580645
0,61,0.2903226,0.2903226
0,62,0.4193548,0.4193548
0,63,0.1935484,0.1935484
0,64,0.3548387,0.3548387
0,65,0.4193548,0.4193548
0,66,0.3870968,0.3870968
0,67,0.09677419,0.09677419
0,68,0.3870968,0.3870968
0,69,0.1612903,0.1612903
0,70,0.3225806,0.3225806
0,71,0.4516129,0.4516129
0,72,0.5483871,0.5483871
0,73,0.2903226,0.2903226
0,74,0.483871,0.483871
0,75,0.1935484,0.1935484
0,76,0.2258064,0.2258064
0,77,0.1290323,0.1290323
0,78,0.5483871,0.5483871
0,79,0.2580645,0.2580645
0,80,0.4516129,0.4516129
0,81,0.1935484,0.1935484
0,82,0.09677419,0.09677419
0,83,0.4516129,0.4516129
0,84,0.1290323,0.1290323
0,85,0.06451613,0.06451613
0,86,0.5483871,0.5483871
0,87,0.1612903,0.1612903
0,88,0.2258064,0.2258064
0,89,0.5483871,0.5483871
0,90,0.09677419,0.09677419
0,91,0.3870968,0.3870968
0,92,0.1612903,0.1612903
0,93,0.3225806,0.3225806
0,94,0.5483871,0.5483871
0,95,0.4193548,0.4193548
0,96,0.3870968,0.3870968
0,97,0.3548387,0.3548387
0,98,0.1290323,0.1290323
0,99,0.3548387,0.3548387
1,0,0.3870968,0.3870968
1,1,0.3870968,0.3870968
1,2,0.3870968,0.3870968
1,3,0.4193548,0.4193548
1,4,0.4193548,0.4193548
1,5,0.4193548,0.4193548
1,6,0.4193548,0.4193548
1,7,0.4193548,0.4193548
1,8,0.4193548,0.4193548
1,9,0.4193548,0.4193548
1,10,0.4193548,0.4193548
1,11,0.4193548,0.4193548
1,12,0.4193548,0.4193548
1,13,0.4193548,0.4193548
1,14,0.4193548,0.4193548
1,15,0.4193548,0.4193548
1,16,0.4193548,0.4193548
1,17,0.4193548,0.4193548
1,18,0.4193548,0.4193548
1,19,0.4193548,0.4193548
1,20,0.4193548,0.4193548
1,21,0.4193548,0.4193548
1,22,0.4193548,0.4193548
1,23,0.4193548,0.4193548
1,24,0.4193548,0.4193548
1,25,0.4193548,0.4193548
1,26,0.4193548,0.4193548
1,27,0.4516129,0.4516129
1,28,0.4516129,0.4516129
1,29,0.4516129,0.4516129
1,30,0.4516129,0.4516129
1,31,0.4516129,0.4516129
1,32,0.4516129,0.4516129
1,33,0.4516129,0.4516129
1,34,0.4516129,0.4516129
1,35,0.4516129,0.4516129
1,36,0.4516129,0.4516129
1,37,0.4516129,0.4516129
1,38,0.4516129,0.4516129
1,39,0.4516129,0.4516129
1,40,0.4516129,0.4516129
1,41,0.4516129,0.4516129
1,42,0.4516129,0.4516129
1,43,0.4516129,0.4516129
1,44,0.4516129,0.4516129
1,45,0.4516129,0.4516129
1,46,0.483871,0.483871
1,47,0.483871,0.483871
1,48,0.483871,0.483871
1,49,0.483871,0.483871
1,50,0.483871,0.483871
1,51,0.483871,0.483871
1,52,0.483871,0.483871
1,53,0.483871,0.483871
1,54,0.483871,0.483871
1,55,0.483871,0.483871
1,56,0.483871,0.483871
1,57,0.516129,0.516129
1,58,0.516129,0.516129
1,59,0.516129,0.516129
1,60,0.516129,0.516129
1,61,0.516129,0.516129
1,62,0.5483871,0.5483871
1,63,0.5483871,0.5483871
1,64,0.5483871,0.5483871
1,65,0.5483871,0.5483871
1,66,0.5483871,0.5483871
1,67,0.5483871,0.5483871
1,68,0.5483871,0.5483871
1,69,0.5483871,0.5483871
1,70,0.5483871,0.5483871
1,71,0.5483871,0.5483871
1,72,0.5483871,0.5483871
1,73,0.5483871,0.5483871
1,74,0.5483871,0.5483871
1,75,0.5483871,0.5483871
1,76,0.5483871,0.5483871
1,77,0.5483871,0.5483871
1,78,0.5483871,0.5483871
1,79,0.5483871,0.5483871
1,80,0.5483871,0.5483871
1,81,0.5483871,0.5483871
1,82,0.5483871,0.5483871
1,83,0.5483871,0.5483871
1,84,0.5483871,0.5483871
1,85,0.5483871,0.5483871
1,86,0.5483871,0.5483871
1,87,0.5483871,0.5483871
1,88,0.5483871,0.5483871
1,89,0.5483871,0.5483871
1,90,0.5483871,0.5483871
1,91,0.5483871,0.5483871
1,92,0.5483871,0.5483871
1,93,0.5483871,0.5483871
1,94,0.5483871,0.5483871
1,95,0.5483871,0.5483871
1,96,0.5483871,0.5483871
1,97,0.5483871,0.5483871
1,98,0.5483871,0.5483871
1,99,0.5483871,0.5483871
2,0,0.5483871,0.5483871
2,1,0.5483871,0.5483871
2,2,0.5483871,0.5483871
2,3,0.5483871,0.5483871
2,4,0.5483871,0.5483871
2,5,0.5483871,0.5483871
2,6,0.5483871,0.5483871
2,7,0.5483871,0.5483871
2,8,0.5483871,0.5483871
2,9,0.5483871,0.5483871
2,10,0.5483871,0.5483871
2,11,0.5483871,0.5483871
2,12,0.5483871,0.5483871
2,13,0.5483871,0.5483871
2,14,0.5483871,0.5483871
2,15,0.5483871,0.5483871
2,16,0.5483871,0.5483871
2,17,0.5483871,0.5483871
2,18,0.5483871,0.5483871
2,19,0.5483871,0.5483871
2,20,0.5483871,0.5483871
2,21,0.5483871,0.5483871
2,22,0.5483871,0.5483871
2,23,0.5483871,0.5483871
2,24,0.5483871,0.5483871
2,25,0.5483871,0.5483871
2,26,0.5483871,0.5483871
2,27,0.5483871,0.5483871
2,28,0.5483871,0.5483871
2,29,0.5483871,0.5483871
2,30,0.5483871,0.5483871
2,31,0.5483871,0.5483871
2,32,0.5483871,0.5483871
2,33,0.5483871,0.5483871
2,34,0.5483871,0.5483871
2,35,0.5483871,0.5483871
2,36,0.5483871,0.5483871
2,37,0.5483871,0.5483871
2,38,0.5483871,0.5483871
2,39,0.5483871,0.5483871
2,40,0.5483871,0.5483871
2,41,0.5483871,0.5483871
2,42,0.5483871,0.5483871
2,43,0.5483871,0.5483871
2,44,0.5483871,0.5483871
2,45,0.5483871,0.5483871
2,46,0.5483871,0.5483871
